tag,question_principale,questions_alternatives,reponse_courte,reponse_longue,categorie,mots_cles,priorite,tags_associes
a_propos_du_laboratoire,Qu'est-ce que le laboratoire et que fait-il ?,c'est quoi le laboratoire | que fait le laboratoire | présentation du laboratoire | à quoi sert ce laboratoire,"Le laboratoire réalise des essais et analyses sur les matériaux de construction (ciments, bétons, plâtres, chaux, briques, céramiques, etc.).","Le laboratoire est un centre d'essais spécialisé dans le contrôle et l'analyse des matériaux de construction : ciments, bétons et granulats, plâtres et chaux, briques et terre cuite, céramiques et verre, ainsi que des analyses chimiques, minéralogiques et géotechniques.",Général,"laboratoire, présentation, à propos, missions",Haute,
quantite_echantillon_generale,Quelle quantité d'échantillon dois-je fournir pour une analyse ?,quantité d'échantillon à fournir | combien de matériau dois-je apporter ? | quantité de matériau à analyser | poids d'échantillon requis,La quantité de matériau ou d'échantillon à analyser varie en fonction de l'essai demandé.,"Les quantités de matériaux et d'échantillons à analyser varient en fonction de l'essai réalisé. Pour plus de renseignements, merci de vous rapprocher du service client.",Général,"quantité, échantillon, prélèvement, matériau",Haute,"quantite_echantillon_ciment, quantite_echantillon_granulats, quantite_echantillon_carreaux_ceramiques, quantite_echantillon_briques"
quantite_echantillon_ciment,Quelle quantité de ciment dois-je fournir pour les essais ?,quantité échantillon ciment | combien de kg de ciment apporter ? | poids d'échantillon de ciment | quantité de ciment nécessaire pour analyse,La quantité de ciment demandée est généralement de **15 kg**.,"Pour les essais sur ciment, le laboratoire demande généralement un échantillon d'environ **15 kg**. Cette quantité peut varier selon l'essai demandé. Pour plus de renseignements, merci de vous rapprocher du service client.",Ciment,"ciment, quantité, échantillon, kg",Haute,"quantite_echantillon_generale, quantite_echantillon_granulats"
quantite_echantillon_granulats,Quelle quantité de granulats ou de matériaux dois-je fournir ?,quantité échantillon granulats | combien de kg de matériau apporter ? | poids d'échantillon pour granulats | quantité de sable ou gravier pour analyse,La quantité de granulats ou de matériaux demandée varie généralement entre **20 et 50 kg** selon le type d'analyse.,"Pour les essais sur granulats et matériaux en général, le laboratoire demande un échantillon d'environ **20 à 50 kg**, la quantité exacte dépendant du type d'analyse demandé. Pour plus de renseignements, merci de vous rapprocher du service client.",Béton et granulats,"granulat, matériau, quantité, échantillon, kg",Haute,"quantite_echantillon_generale, quantite_echantillon_ciment"
quantite_echantillon_carreaux_ceramiques,Combien de carreaux céramiques dois-je fournir pour les essais ?,quantité de carreaux pour analyse | combien de carreaux céramiques apporter ? | nombre de carreaux nécessaire pour essai céramique,La quantité de carreaux céramiques demandée varie généralement entre **6 et 16 carreaux** selon l'analyse.,"Pour les essais sur carreaux céramiques, le laboratoire demande généralement entre **6 et 10 carreaux**, pouvant aller jusqu'à **16 carreaux** selon le type d'analyse demandé. Pour plus de renseignements, merci de vous rapprocher du service client.",Céramique et verre,"carreaux, céramique, quantité, échantillon",Haute,"quantite_echantillon_generale, quantite_echantillon_briques"
quantite_echantillon_briques,Combien de briques dois-je fournir pour le contrôle qualité ?,quantité de briques pour analyse | combien de briques apporter ? | nombre de briques nécessaire pour contrôle qualité,La quantité de briques demandée est généralement de **16 briques** pour le contrôle qualité.,"Pour le contrôle qualité sur briques, le laboratoire demande généralement un échantillon de **16 briques**. Pour plus de renseignements, merci de vous rapprocher du service client.",Briques et terre cuite,"brique, quantité, échantillon, contrôle qualité",Haute,"quantite_echantillon_generale, quantite_echantillon_carreaux_ceramiques"
broyage_1_mm_norme,Selon quelle norme réalisez-vous l'essai « BROYAGE À 1 MM » ?,norme broyage à 1 mm | référence normative de l'essai broyage à 1 mm | quelle norme utilisez-vous pour cet essai ? | broyage à 1 mm norme applicable,Cet essai est réalisé selon notre mode opératoire interne.,Le laboratoire réalise l'essai « BROYAGE À 1 MM » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.,Préparation d'échantillons,"broyage, préparation, échantillon",Basse,"broyage_1_mm_delai, broyage_1_mm_accreditation"
broyage_1_mm_delai,Quel est le délai de réalisation de l'essai « BROYAGE À 1 MM » ?,délai de l'essai broyage à 1 mm | combien de temps prend l'essai broyage à 1 mm ? | quand aurai-je les résultats pour broyage à 1 mm | temps de traitement broyage à 1 mm,Le délai de réalisation de l'essai « BROYAGE À 1 MM » est de **4 jours**.,Le laboratoire réalise l'essai « BROYAGE À 1 MM » dans un délai de **4 jours** à compter de la réception de l'échantillon.,Préparation d'échantillons,"broyage, préparation, échantillon",Basse,"broyage_1_mm_norme, broyage_1_mm_accreditation"
broyage_1_mm_accreditation,L'essai « BROYAGE À 1 MM » est-il accrédité ?,accréditation de l'essai broyage à 1 mm | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour broyage à 1 mm | broyage à 1 mm accrédité,"Non, l'essai « BROYAGE À 1 MM » n'est pas accrédité.",L'essai « BROYAGE À 1 MM » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Préparation d'échantillons,"broyage, préparation, échantillon",Basse,"broyage_1_mm_norme, broyage_1_mm_delai"
concassage_norme,Selon quelle norme réalisez-vous l'essai « CONCASSAGE » ?,norme concassage | référence normative de l'essai concassage | quelle norme utilisez-vous pour cet essai ? | concassage norme applicable,Cet essai est réalisé selon notre mode opératoire interne.,Le laboratoire réalise l'essai « CONCASSAGE » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.,Préparation d'échantillons,"concassage, préparation, échantillon",Basse,"concassage_delai, concassage_accreditation"
