tag,question_principale*,questions_alternatives,reponse_courte,reponse_longue*,categorie*,mots_cles,priorite,tags_associes,icone,source,url_source,valide_jusqua
labo_metrologie,Est-ce que le laboratoire métrologie est accrédité ,est-ce que le CETIM est accrédité en métrologie | Le laboratoire est-il reconnu à l'échelle internationale pour l'étalonnage | ISO 17025 étalonnage | ISO/IEC 17025 étalonnage des équipements | Le laboratoire est accrédité par Algerac en étalonnage,Oui le CETIM est accrédité par Algerac en étalonnage des équipements de mesure en plusieurs grandeurs,"Oui le CETIM est accrédité par Algerac en étalonnage des équipements de mesure en plusieurs grandeurs (exemple: température sur site et  laboratoire, pesage, masse) selon l'annexe technique publié sur le site d'Algerac",Métrologie,Accréditation étalonnage | ISO/IEC 17025 étalonnage | prestations accrédité | Algerac ,5,,,Site d'Algerac,,à mettre à jour annuellement
labo_metrologie,est-ce que le CETIM réalise l'étalonnage des manomètres de pression,est-ce que le CETIM est accrédité en pression | le laboratoire étalonne les manomètres | le laboratoire étalonne les transmetteurs de pression | le laboratoire étalonne le capteurs manométriques,Non le CETIM ne réalise actuellement pas ce type de prestation,Non le CETIM ne réalise actuellement pas ce type de prestation,Métrologie,Pression | manomètre | transmetteur de pression  capteur de pression ,8,,,Prestations CETIM,,à mettre à jour annuellement
labo_metrologie,Quels sont les étalonnages réalisés par le laboratoire métrologie,quels sont toutes les prestations réalisées par le service métrologie | quel est la liste des prestations métrologie | quel types d'étalonnages vous réalisez | ,"Les laboratoires  de métrologie réalise un large champ de prestations dans divers domaines, accrédité et hhors accréditation ","Les laboratoires de métrologie du CETIM réalisent un très grand nombre de prestations d'étalonnage, une partie accrédité (selon l'annee technique publié sur le site d'Algerac) et d'autres hhors accréditation, globalement le laboratoire opère dans les domaines: Force en traction et compression, Dimensionnel (pied à coulisse, micromètre, palpeur, etc), Température ( bains liquides, enceintes climatiques, fours, étuve, thermomètre, etc), Balances, masses.",Métrologie,Etalonnage | force | dimensionnel | Température | prestations | hhors accréditations ,5,,,Prestations CETIM,,à mettre à jour annuellement
labo_metrologie,est-ce que le CETIM réalise l'étalonnage en grandeur électriques,est-ce que le CETIM est accrédité en électricité HT/ BT | le laboratoire étalonne les wattmètres | le laboratoire étalonne les oscilloscopes  | le laboratoire étalonne le capteurs de haute tension | étalonnage des générateurs de signaux analogiques et numériques |,Non le CETIM ne réalise actuellement pas ce type de prestation,Non le CETIM ne réalise actuellement pas ce type de prestation,Métrologie,Pression | manomètre | transmetteur de pression  capteur de pression ,8,,,Prestations CETIM,,à mettre à jour annuellement
labo_metrologie,Quel est la durée de réalisation d'une prestation d'étalonnage,Délai de l'étalonnage | Temps nécessaire pour l'étalonnage | durée du raccordement | temps nécessaire pour l'étalonnage | durée de séjour des équipments à étalonner au niveau du laboratoire,"Le  délais de réalisation de l'étalonnage dépend de plusieurs facteurs, pour plus d'informations veuillez envoyer votre demande par Email pour étude de faisabilité et estimation des délais ","Le délais de réalisation de l'étalonnage dépend du nombre et de la nature des équipements à étalonner et des engagements préalables du laboratoire métrologie, veuillez envoyer votre demande détaillée par Email afin d'obtenir une estimation des délais",Métrologie,Délai | durée | temps de réalisation | ,5,,,,,Valid
labo_metrologie,Est-ce que vous réalisez l'étalonnage d'une étuve,Est-ce que le CETIM réalise la caractérisation d'une étuve | Réalisez vous la caractérisation d'une enceinte thermostatique ou climatique | Caractérisation d'une étuve selon FDX 15 140 | Qualification d'une étuve | qualification d'un réfrigérateur | qualification d'une chambre froide ,"Oui, le laboratoire métrologie du CETIM réalise la caractérisation des enceintes thermostatiques et climatiques ","Le CETIM réalise la caractérisation des enceintes thermostatiques (étuve, chambre froide positive ou négative, zone de stockage, incubateur, etc) et des enceintes climatiques selon la FDX 15 140, sur une étendue de -39°C à 200°C ",Métrologie,Enceinte | étuve | chambre froide | incubateur | FDX 15 140,10,,,Prestations CETIM,,à mettre à jour annuellement
labo_metrologie,Est-ce que vous étalonnez les machines de force,Est-ce que le CETIM réalise l'étalonnage d'une machine de traction | Étalonnage d'un capteur de force | Étalonnage d'une machine de compression | étalonnage d'une machine à béton | ,"Oui, nous réalisons l'étalonnage des machines d'essai avec déclaration de conformité (classement) ","Oui, nous réalisons l'étalonnage des machines d'essai avec déclaration de conformité (classement) pour la traction, flexion et compression. Pour la flexion et compression nous disposons des chaines de mesure de force étalons de 0,25kN à 3000kN.",Métrologie,Machine de force  | Presse à béton  | force  | compression  | flexion  | traction  | machine d'essai,10,,,Prestations CETIM,,à mettre à jour annuellement
labo_metrologie,est-ce que vous étalonnez les balances,Etalonnage des IPFNA |  caractérisation d'une balance |  qualification d'une balance |  balance de précision |  microbalance |  balance analytique |  semi microbalance |  thermobalance,Le laboratoire métrologie du CETIM réalise l'étalonnage des IPFNA (balances) ,"Le laboratoire métrologie du CETIM est accrédité dans le domaine pesage: étalonnage des IPFNA de 1g à 10g, et réalise les étalonnages hhors accréditation de 10kg à 150kg avec assurance de la traçabilité métrologique",Métrologie,Balance  | IPFNA  | balance analytique  | pesage  | balance de laboratoire  | accréditation,10,,,Site d'Algerac,,à mettre à jour annuellement
labo_metrologie,est-ce que vous étalonnez les ponts bascules,Etalonnage des jauges de force  | tonnage  ,Non le CETIM ne réalise actuellement pas ce type de prestation,Non le CETIM réalise uniquement l'étalonnage des balances et instruments de pesage jusqu'à 150kg maximum,Métrologie,Balance  | IPFNA  | balance analytique  | pesage  | balance de laboratoire  | accréditation,10,,,,,à mettre à jour annuellement
labo_metrologie,est-ce que vous étalonnez les masses,Etalonnage des poids | étalonnage des masses manométriques | série de poids | masse individuelle | coffret de masse | masse étalon | masse classe F | masse classe  M | masse classe E2 | masse classe E1,Oui le CETIM est accrédité par Algerac en étalonnage des poids et masses sur diverses classes,"Oui le CETIM est accrédité par Algerac en étalonnage des poids classes M et F (M1, M2, M3, F2 et F1) de 1mg à 10kg",Métrologie,classes  | étalonnage  | poids | masse  | accréditation,10,,,,,à mettre à jour annuellement
